# RTK ground truth trajectory (2D only, Z=0)
# Transformations applied:
#   1. Zero at origin (first measurement at 0,0)
#   2. Timestamps normalized to start at 0
#   3. Z coordinate set to 0 (2D trajectory)
# Original origin: (484992.14, 4418835.23)
# Format: t x y z qx qy qz qw
21.599004507 -0.143411558 0.071557417 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
21.798841715 -0.149492144 0.062716078 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
21.999211550 -0.153316419 0.059323443 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
22.199040890 -0.155433339 0.056980341 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
22.398752689 -0.160091953 0.055943277 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
22.598573685 -0.161909466 0.055287894 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
22.799209833 -0.160904459 0.052690770 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
22.998678446 -0.164627621 0.051138273 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
23.198898315 -0.160500070 0.049149288 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
23.398616552 -0.158363721 0.054960667 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
23.598296404 -0.154268303 0.052991163 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
23.798347235 -0.153907828 0.047971640 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
23.998654127 -0.149058370 0.039419380 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
24.198635578 -0.145670946 0.036499062 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
24.398878813 -0.145522292 0.029576605 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
24.598714113 -0.142056517 0.024849035 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
24.799286127 -0.140400257 0.019095391 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
24.998881340 -0.138921737 0.012495750 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
25.198470354 -0.132613925 0.005726968 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
25.399129152 -0.130460029 0.005618191 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
25.598671675 -0.132920624 0.008413944 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
25.798398018 -0.133704952 -0.020056664 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
25.998616934 -0.150724382 -0.058788504 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
26.198586464 -0.159209338 -0.068733362 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
26.399316549 -0.164289616 -0.064993871 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
26.598392010 -0.166271154 -0.059825669 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
26.798776388 -0.170566410 -0.044345129 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
26.998510361 -0.184242217 -0.032266992 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
27.198476076 -0.200533565 -0.019660630 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
27.398568153 -0.230193698 0.005425864 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
27.598571777 -0.260908077 0.046128384 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
27.798680782 -0.307474574 0.095671770 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
27.998916864 -0.359839008 0.181059426 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
28.198982000 -0.424352777 0.276443897 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
28.398505688 -0.503208190 0.387114336 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
28.598520041 -0.581892818 0.506037883 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
28.799010515 -0.659854428 0.631642684 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
28.998352289 -0.740183311 0.752956918 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
29.198300838 -0.811978757 0.868706562 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
29.398509264 -0.887990061 0.986081287 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
